akz1	akz	akzizWa
ac	ac	aYc aYcin aYka aYkas aYcana acana aYcas aNku akzRa
aj	aj	agra aj aja aja ajaka ajana ajira ajma ajya ajra ajvin Aja Aji
aYj	aYj	aNga aNgya aYjaka aYjya ajya Aja Ajya aYjana aYjas aYji aktA akti aktu
aw	aw	awa awana awavI awyA Awa awAwyA
at	at	atasi ati atiTi atiTin atya
ad	ad	ad ada adaka adana adanIya atti attavya attf attra attrin attri atri anna adman adya advan advara Adana Adin Adya
an	an	ana anan anaTa anila Ana Anana
am	am	ama amati amati amatra amana amina amIva amla Ama Amana amaya Amis Amayitnu
arc	arc	arc arka arcA arcaka arcya arcatra arcatri arcana arcanIya arcanAnas arci arcin arcitf arcis fc fca fcas fkti fkva fkvan
arh	arh	arGa arGya arha arhaRa arrhaRA arhaRIya
av	av	ava avana avas avis avitf avitra avizWa avi avI Uti Uma oma oman oman
aS1	aS	aNSa azwi aSana aSI aSnuva aSnuvin ASa ASA
aS2	aS	aS asana aSanA aSanIya aSitavya aSitf aSitra aSuza aSna aSni ASa ASaka
as1	as	asu asta asti Asa itiha sti
as2	as	as asana asanA asanIya asi asira asizWa asti astavya astf astra asya asyA asra Asa Asin Asya Asana
ah	ah	Aha
AYC	AYC	AYCana
Ap	Ap	Apa Apaka Apin Apya Apana ApanIya Apaneya Api Apti Aptavya Aptf ApnAna Apayitavya Apayitf IpsA Ipsin Ipsu Apipayizu
As	As	Asa AsA Asaka Asya AsyA Asana AsanIya Asitavya Asitf Asti
i1	i	aya ayaTa ayana Aya Ayin Ayana Ayu Ayu Ayus Ayuka it iti iti ityA itvan itvara iTa Iti Iya etu etavya etf ema eman eya eva Apin Apaka Apya Apana Apayitf Ayaka Ayana ayitavya Ayitavya
i2	inv	ina inva invaka enas
iNg	iNg	iNga iNgana iNgya iYjanA
iD	inD	iD idDi iDma iDya iDra eDa eDas edDf inDa inDaka inDana
il	il	ilaya
iz1	iz	iCaka iCA iCu iz iza izi izira izwi izmin eza eza ezaka ezin ezya ezaRa ezaRA ezaRIya ezwavya ezitavya ezwf ezizizu
iz2	iz	izaRi izu eza ezaka ezya ezaRa ezitavya ezayitf ezitf
Ikz	Ikz	Ikza IkzA Ikzaka Ikzin Ikzya IkzaRa IkzaRIya IkzeRya Ikzitavya Ikzitf Icikzizu
INK	INK	INKa INKana INKaya
Iq	Iq	Iq Iqya Iqitavya Iqenya Iqitf
Ir	Ir	Ira Iraka Irya IryA Irin IraRa IraRIya Iritf Irma
Irzy	Irzy	IrzyA Irzyaka Irzyin IrzyAlu Irzyu Irzyitavya
IS	IS	IS ISa ISA ISin ISana ISitavya ISitf ISu ISvara
Iz	Iz	IzA eza ezwi ezwf
Ih	Ih	Iha IhA Ihana eha Ehas
ukz1	ukz	ukz ukza ukzan ukzaRa ukzaRIya ukzitavya uzwf uzwf uzwra
uc	uc	oka okya okas okivANs ocana ocara
uJ	ujJ	uJa uJana uJiti
uYC	uYC	uYCa uYCana
ud	ud	ud udaka udan uda udani uditf udman udra utsa undana odatI odana odman
ubj	ubj	udga ubja
uB	uB	umBana
Uh1	Uh	Uha Uhaka Uhya Uhana UhanIya Uhitavya UQi oha oGas
Uh2	Uh	Uha Uhya Uhana UhanIya Uhitavya oha ohas ohasAna
f	f	ara ara arya arya araRa araRi arati araru ari aritf aritra aritra arRa arRas arTa arman arma arvan arva arvant Ara Arin Aruka Arya iras iriRa irya fCA fti fti ftu fTa fRa raTa arpaka arpya arpaRa arpaRIya arpitf arpayitf arpayitavya
fj	arj	arjaka arjya arjana arjanIya arjayitf fjipya fjiSvan fjIpin fjIza fjUnas fNga fjIyas fju raji rajizWa rajIyas rAji
ft	ft	artana artitf artuka
fd	ard	ardaka ardin ardana
fD	fD	arDa arDa arDya arDi arDuka rD rDat fDak fdDi fDnuka IrtsA arDayitf
fz	fz	arza arzaRa arzaRI arzu arzwf fzaBa fzi fzu fzwi fzva
ej	ej	ejaTu ejaya
eD	eD	eDa eDatu eDana eDas ediDizu
katT	katT	katTA katTaka katTin katTana katTitavya
kan	kA	kanA kanaka kanizWa kaniwTa kanIna kanIyas kanyA kAti kAyya
kam	kam	kam kama kamana kamanIya kamitf kamra kAma kAmin kAmya kAmyA kAman kAmana kAmuka kAMti kAmyitavya
kamp	kamp	kampa kampA kampaka kampin kampya kampana kampanA kampanIya kampra kapanA kapi kepi
kal	kal	kalA kalikA kalya kalana kalanIya kalayitf kAlaka kAlana
kaz	kaz	kaza kazaRa kAza kAzin
kas	kas	kasanA kasuka kasti kasvara kAsa kAsaka kAsin kAsana kAsanIya
kANkz	kANkz	kANkza kANkzA kANkzin kANkzya kANkzaRa kANkzaRIya kANkzitavya
kAS	kAS	kASa kASaka kASin kASya kASana kASanIya caNkaSa kASayitavya
kAs	kAs	kAs kAsa kAsA kAsikA kAsana kAs kAsa
kuc	kuc	kuca kucana kuYcaka kuYcana kuYci koca kocaka kocin kocana
kuww	kuww	kuwwa kuwwaka kuwwana
kuT	kuT	koTa koTaka
kup	kup	kupa kupana kupaya kupAyu kupya kopa kopin kopya kopana kopitf kopayizRu cukopavizu
kuz	kuz	koza kozaRa
kU	kU	kUti kavi kavIyas
kUj	kUj	kUja kUjana kUjitavya
kUrd	kUrd	kUrda kUrdana kroda krodin
kf1	kf	kara karaRa karaRa karaRIya karaRi karas karizWa karizRu karuRa kartva kartavya kartf kartf kartra karman karvara kAra kAraka kArin kArya kAraRa kAraRIya kAru kAruka kUrmi in kft kftya kftya kftyA kfti kftu tvas kftvya kftnu kftrima kftvan kftvarI kfTa kra kratu kriyA cakri karikra cikIrz cikIrzA cikIrzu kArayitf kArayitavya cikArayizu cizkArayizu
kf2	kF	kara karaka karitf kAra kAraka kir kira kiraRa kiri kIrya kula
kf3	kf	kAra kArin kAru kIri in kIrti keru carkfti carkftya
kft1	kft	karta garta kartya kartana kartin karttavya karttf kartari kartarI kftA kfti kftti kfnta kfntana kfntatra cikartizA cikartizu
kft2	kft	karttf
kfp	kfp	kfpA kfpaRa kfpaRa
kfS	kfS	karSana kfSa kraSIyas
